Date,Lecture,Lab
"Mon, Nov 16"," Functional Magnetic Resonance Imaging (fMRI) part 1<br>[<a href=""../lectures/lecture8.html"" data-turbolinks=""false"">Lecture 8</a>]<br>[<a href=""../chapters/09/00-hypothesistesting.html"">Chapter 10</a>] - read before next monday "," [<a href=""../labs/lab1mri-pt1.html"">Lab: fMRI</a>]"
"Wed, Nov 18"," Hypothesis testing and Multiple Comparisons<br>[<a href=""../chapters/10/00-sdt.html"">Chapter 11</a>] - read before next monday "," [<a href=""../labs/lab1mri-pt2.html"">Lab: fMRI pt2</a>]"
"Mon, Nov 23"," Computational modeling, intro to RL, final projects "," [<a href=""../labs/lab-rl-pt1.html"">Lab 3: Reinforcement Learning</a>] "
"Wed, Nov 25"," Computational modeling, intro to RL, final projects "," [<a href=""../labs/lab-rl-pt1.html"">Lab 3: Reinforcement Learning</a>] "
"Mon, Nov 30"," Computational modeling, intro to RL, final projects "," [<a href=""../labs/lab-rl-pt1.html"">Lab 3: Reinforcement Learning</a>] "
"Wed, Dec 2"," Literature reviews, findings papers online, reference managers and citations<br>[<a href=""../chapters/12/00-rl.html"">Chapter 13</a>] - read before next wednesday  ","[<a href=""../labs/lab-rl-pt1.html"">Lab 3: Reinforcement Learning</a>] "
"Mon, Dec 7", Work on final projects in class  , Final projects 
"Wed, Dec 9","Literature reviews, findings papers online, reference managers and citations", Final projects 
,,
Final exam time TBD ,,
,,
,, 
,,
